"latitude","longitude","name","Station","zone","total_lines","rail","ix","ASC","Mode","AnnEntEx2017","AnnEntExPcnt2017","AnnEntEx2018","AnnEntExChng1718","AnnEntExChngPcnt1718","easting","northing"
51.5143,-0.0755,"Aldgate","Aldgate",1,2,0,1,"ALDu","LU",8459234,9.133250240581987,9218140,758906.,8.971332392507406,533636.9717679468,181240.9435224863
51.5226,-0.1571,"Baker Street","Baker Street",1,5,0,2,"BSTu","LU",27340420,29.51885448997067,27349471,9051.,0.0331048316009776,527951.9417221984,182018.20081767277
51.5204,-0.0979,"Barbican","Barbican",1,3,0,3,"BARu","LU",11303155,12.20376964664714,11160091,-143064.,-1.2656997095058857,532065.1299641288,181878.6477581006
51.5121,-0.1879,"Bayswater","Bayswater",1,2,0,4,"BAYu","LU",4437691,4.791278074749855,4335552,-102139.,-2.3016248765405254,525844.182035135,180797.19179423217
51.512,-0.1031,"Blackfriars","Blackfriars LU",1,2,0,5,"BLFu","LU",14159864,15.288095977083529,14288212,128348.,0.9064211351182467,531728.5923318351,180935.17619330576
51.5113,-0.0904,"Cannon Street","Cannon Street LU",1,2,0,6,"CSTu","LU",8996282,9.71308923962186,7399745,-1.596537e6,-17.74663133058746,532611.8504733186,180880.25206280517
51.5203,-0.17,"Edgware Road","Edgware Road (DIS)",1,3,0,7,"ERDu","LU",6801573,7.343509854271195,6743070,-58503.,-0.8601392648435884,527063.433811501,181739.9716345595
51.5074,-0.1223,"Embankment","Embankment",1,4,0,8,"EMBu","LU",21002144,22.675556290408508,20303286,-698858.,-3.327555510523116,530409.4651978659,180389.2836144878
51.526,-0.1359,"Euston Square","Euston Square",1,3,0,9,"ESQu","LU",13495131,14.570398271573456,13858401,363270.,2.6918597529731274,529413.0017686539,182433.54672202416
51.5203,-0.1053,"Farringdon","Farringdon",1,3,1,10,"FARu","LU",19325838,20.865685304715356,25016753,5.690915e6,29.447183609838806,531552.0412659834,181854.20861927362
51.4945,-0.1829,"Gloucester Road","Gloucester Road",1,3,0,11,"GRDu","LU",13100020,14.143805552208253,13311849,211829.,1.6170127984537426,526239.7135854921,178848.60158326465
51.5238,-0.1439,"Great Portland Street","Great Portland Street",1,3,0,12,"GPSu","LU",7732903,8.34904651947767,7728904,-3999.,-0.05171408460703568,528864.2712824929,182174.7906401552
51.5009,-0.1925,"High Street Kensington","High Street Kensington",1,2,0,13,"HSTu","LU",12115781,13.081144194981325,11889198,-226583.,-1.8701477024056476,525555.7523498135,179543.81040426117
51.5308,-0.1238,"King's Cross St. Pancras","King's Cross St. Pancras",1,6,1,14,"KXXu","LU",92620193,100.,87839231,-4.780962e6,-5.161900278052757,530238.6544399859,182988.7773707281
51.5178,-0.0823,"Liverpool Street","Liverpool Street LU",1,4,1,15,"LSTu","LU",64501949,69.64134592118589,66141465,1.639516e6,2.541808465353504,533154.9589719197,181617.76774533337
51.5122,-0.094,"Mansion House","Mansion House",1,2,0,16,"MANu","LU",6140305,6.629553233602094,7106682,966377.,15.73825730155098,532359.4435795248,180973.82276702276
51.5108,-0.0863,"Monument","Bank and Monument",1,2,0,17,"BNKu","LU",59256074,63.97748922850981,56888921,-2.367153e6,-3.9947854122093873,532897.799065281,180832.08204253233
51.5186,-0.0886,"Moorgate","Moorgate",1,4,1,18,"MGTu","LU",25828308,27.886260180865744,24646666,-1.181642e6,-4.574988032510685,532715.5473457788,181695.2944261165
51.5094,-0.1967,"Notting Hill Gate","Notting Hill Gate",1.5,3,0,19,"NHGu","LU",15456337,16.687869566413017,13812400,-1.643937e6,-10.636006448358366,525240.9600705635,180481.85739256407
51.5154,-0.1755,"Paddington","Paddington TfL",1,4,1,20,"PADu","LU",46331280,50.02287136240366,47011593,680313.,1.4683665117821048,526695.4512081105,181185.54283729818
51.4924,-0.1565,"Sloane Square","Sloane Square",1,2,0,21,"SSQu","LU",16372926,17.67749069579244,15929561,-443365.,-2.707915494151748,528078.155859074,178660.8938101082
51.4941,-0.1738,"South Kensington","South Kensington",1,3,0,22,"SKNu","LU",31994140,34.54337435898023,32056414,62274.,0.19464189379680155,526872.5022748132,178819.83929069323
51.4994,-0.1335,"St. James's Park","St. James's Park",1,2,0,23,"SJPu","LU",13664987,14.753788085930678,14169247,504260.,3.69016084684164,529654.9252693782,179479.77535000112
51.5111,-0.1141,"Temple","Temple",1,2,0,24,"TEMu","LU",8561001,9.243125848377362,8957017,396016.,4.625814200932812,530967.9027848926,180815.36671992205
51.5098,-0.0766,"Tower Hill","Tower Hill",1,2,0,25,"THLu","LU",19897981,21.483415608948256,21524392,1.626411e6,8.173748884371737,533573.8011393402,180738.52453963074
51.4965,-0.1447,"Victoria","Victoria LU",1,3,1,26,"VICu","LU",75163165,81.152028046411,82964036,7.800871e6,10.37858238140983,528885.7353223067,179137.52212639997
51.501,-0.1254,"Westminster","Westminster",1,3,0,27,"WMSu","LU",24219994,26.149798672952453,24497646,277652.,1.1463751807700695,530212.568389758,179672.06767750997
