AName,ACode,AType,SpDate,Cases,Diff1Day,Diff7Day,Av7Day,SD7Day,lon,lat
East Midlands,E12000004,region,2021-01-06,3189,-308,-424,3142.714285714286,789.672083842401,-1.054146651,52.83215205
East of England,E12000006,region,2021-01-06,6248,-989,-2491,6729.428571428572,1586.1702304607788,0.132774002,52.0573453
London,E12000007,region,2021-01-06,13476,-1044,-3838,13006.142857142857,3169.488444528549,-0.118557151,51.50335312
North East,E12000001,region,2021-01-06,1503,-222,-775,1636.5714285714287,396.8261584119676,-1.494466358,54.83081922
North West,E12000002,region,2021-01-06,6585,-1039,163,6273.714285714285,1778.8931952199941,-2.53694217,53.53628076
South East,E12000008,region,2021-01-06,8514,-1830,-3581,9036.142857142857,2132.169083351506,-0.650959685,51.28524037
South West,E12000009,region,2021-01-06,3160,-745,-24,3067.5714285714284,788.2505946715169,-2.830479273,51.08311953
West Midlands,E12000005,region,2021-01-06,5583,-277,-303,5237.285714285715,1283.4328965707557,-2.089522158,52.51992307
Yorkshire and The Humber,E12000003,region,2021-01-06,2548,-221,-398,2509.0,603.7275875757211,-1.219023338,53.6907191
